"","ID","Instrument.Serial.Num","Reading..","Date","Time","Method.Name","User.Factor.Name","Test.Label","Collimation.Status","Latitude","Longitude","Units","Mg.Compound","Mg.Compound.Level","Mg.Compound.Error","Mg.Concentration","Mg.Error1s","Al.Compound","Al.Compound.Level","Al.Compound.Error","Al.Concentration","Al.Error1s","Si.Compound","Si.Compound.Level","Si.Compound.Error","Si.Concentration","Si.Error1s","P.Compound","P.Compound.Level","P.Compound.Error","P.Concentration","P.Error1s","S.Compound","S.Compound.Level","S.Compound.Error","S.Concentration","S.Error1s","K.Compound","K.Compound.Level","K.Compound.Error","K.Concentration","K.Error1s","Ca.Compound","Ca.Compound.Level","Ca.Compound.Error","Ca.Concentration","Ca.Error1s","Ti.Compound","Ti.Compound.Level","Ti.Compound.Error","Ti.Concentration","Ti.Error1s","V.Compound","V.Compound.Level","V.Compound.Error","V.Concentration","V.Error1s","Cr.Compound","Cr.Compound.Level","Cr.Compound.Error","Cr.Concentration","Cr.Error1s","Mn.Compound","Mn.Compound.Level","Mn.Compound.Error","Mn.Concentration","Mn.Error1s","Fe.Compound","Fe.Compound.Level","Fe.Compound.Error","Fe.Concentration","Fe.Error1s","Co.Compound","Co.Compound.Level","Co.Compound.Error","Co.Concentration","Co.Error1s","Ni.Compound","Ni.Compound.Level","Ni.Compound.Error","Ni.Concentration","Ni.Error1s","Cu.Compound","Cu.Compound.Level","Cu.Compound.Error","Cu.Concentration","Cu.Error1s","Zn.Compound","Zn.Compound.Level","Zn.Compound.Error","Zn.Concentration","Zn.Error1s","As.Compound","As.Compound.Level","As.Compound.Error","As.Concentration","As.Error1s","Se.Compound","Se.Compound.Level","Se.Compound.Error","Se.Concentration","Se.Error1s","Rb.Compound","Rb.Compound.Level","Rb.Compound.Error","Rb.Concentration","Rb.Error1s","Sr.Compound","Sr.Compound.Level","Sr.Compound.Error","Sr.Concentration","Sr.Error1s","Y.Compound","Y.Compound.Level","Y.Compound.Error","Y.Concentration","Y.Error1s","Zr.Compound","Zr.Compound.Level","Zr.Compound.Error","Zr.Concentration","Zr.Error1s","Nb.Compound","Nb.Compound.Level","Nb.Compound.Error","Nb.Concentration","Nb.Error1s","Mo.Compound","Mo.Compound.Level","Mo.Compound.Error","Mo.Concentration","Mo.Error1s","Ag.Compound","Ag.Compound.Level","Ag.Compound.Error","Ag.Concentration","Ag.Error1s","Cd.Compound","Cd.Compound.Level","Cd.Compound.Error","Cd.Concentration","Cd.Error1s","Sn.Compound","Sn.Compound.Level","Sn.Compound.Error","Sn.Concentration","Sn.Error1s","Sb.Compound","Sb.Compound.Level","Sb.Compound.Error","Sb.Concentration","Sb.Error1s","W.Compound","W.Compound.Level","W.Compound.Error","W.Concentration","W.Error1s","Au.Compound","Au.Compound.Level","Au.Compound.Error","Au.Concentration","Au.Error1s","Hg.Compound","Hg.Compound.Level","Hg.Compound.Error","Hg.Concentration","Hg.Error1s","Pb.Compound","Pb.Compound.Level","Pb.Compound.Error","Pb.Concentration","Pb.Error1s","Bi.Compound","Bi.Compound.Level","Bi.Compound.Error","Bi.Concentration","Bi.Error1s","Th.Compound","Th.Compound.Level","Th.Compound.Error","Th.Concentration","Th.Error1s","U.Compound","U.Compound.Level","U.Compound.Error","U.Concentration","U.Error1s","LE.Compound","LE.Compound.Level","LE.Compound.Error","LE.Concentration","LE.Error1s","Notes","Operator","Project.No","Sample.ID","Sample.Type"
"101",190,801021,2,"2018-11-14","1900-01-00","Geochem(2)",NA,2,"No",NA,NA,"PPM",NA,NA,NA,0,5310,NA,NA,NA,52719,706,"",NA,NA,270653,804,NA,NA,NA,0,95,NA,NA,NA,1038,39,NA,NA,NA,27653,96,NA,NA,NA,6986,41,"TiO2",2478.25,114.064,1485,68,NA,NA,NA,166,10,NA,NA,NA,0,39,NA,NA,NA,1202,21,NA,NA,NA,5653,37,NA,NA,NA,0,48,NA,NA,NA,17,3,NA,NA,NA,28,2,NA,NA,NA,38,2,NA,NA,NA,3,1,NA,NA,NA,0,6,NA,NA,NA,324,2,NA,NA,NA,592,3,NA,NA,NA,28,1,NA,NA,NA,47,1,NA,NA,NA,23,1,NA,NA,NA,14,1,NA,NA,NA,0,262,NA,NA,NA,0,317,NA,NA,NA,0,524,NA,NA,NA,0,696,NA,NA,NA,9,3,NA,NA,NA,NA,NA,NA,NA,NA,0,45,NA,NA,NA,12,1,NA,NA,NA,0,117,NA,NA,NA,18,3,NA,NA,NA,0,88,NA,NA,NA,631291,1067,"Twin Lakes obsidian","NHW","Similkameen","obsidian","Geo"
"102",191,801021,1,"2018-11-14","1900-01-00","Geochem(2)",NA,1,"No",NA,NA,"PPM",NA,NA,NA,0,4772,NA,NA,NA,61942,718,"",NA,NA,277461,783,NA,NA,NA,0,77,NA,NA,NA,826,36,NA,NA,NA,32801,104,NA,NA,NA,8876,45,"TiO2",2965.27,117.533,1777,70,NA,NA,NA,153,10,NA,NA,NA,0,36,NA,NA,NA,313,12,NA,NA,NA,5067,34,NA,NA,NA,0,45,NA,NA,NA,17,3,NA,NA,NA,30,2,NA,NA,NA,32,2,NA,NA,NA,0,10,NA,NA,NA,0,5,NA,NA,NA,106,1,NA,NA,NA,420,2,NA,NA,NA,24,1,NA,NA,NA,60,1,NA,NA,NA,22,1,NA,NA,NA,11,1,NA,NA,NA,0,258,NA,NA,NA,0,311,NA,NA,NA,0,512,NA,NA,NA,0,681,NA,NA,NA,11,3,NA,NA,NA,NA,NA,NA,NA,NA,0,45,NA,NA,NA,14,1,NA,NA,NA,0,112,NA,NA,NA,21,3,NA,NA,NA,4,1,NA,NA,NA,610013,1054,"Twin Lakes rhyolite","NHW","Similkameen","rhyolite","Geo"
"261",350,801203,101,"2018-09-07","1900-01-00","geoChem-Extra",NA,101,"No",NA,NA,"PPM",NA,NA,NA,0,3713,NA,NA,NA,78616,670,"",NA,NA,334616,853,NA,NA,NA,0,85,NA,NA,NA,0,63,NA,NA,NA,31008,100,NA,NA,NA,15088,60,"",NA,NA,2884,89,NA,NA,NA,133,11,NA,NA,NA,0,42,NA,NA,NA,401,15,NA,NA,NA,17472,75,NA,NA,NA,0,90,NA,NA,NA,18,3,NA,NA,NA,42,3,NA,NA,NA,57,2,NA,NA,NA,0,11,NA,NA,NA,0,6,NA,NA,NA,121,1,NA,NA,NA,415,2,NA,NA,NA,9,1,NA,NA,NA,186,2,NA,NA,NA,12,1,NA,NA,NA,8,1,NA,NA,NA,0,260,NA,NA,NA,0,311,NA,NA,NA,0,535,NA,NA,NA,0,684,NA,NA,NA,0,91,NA,NA,NA,0,39,NA,NA,NA,0,49,NA,NA,NA,18,1,NA,NA,NA,0,143,NA,NA,NA,14,3,NA,NA,NA,0,81,NA,NA,NA,518882,1131,"Arrowstone","PMR","geol-astoneac","1","Geo"
"262",351,801203,102,"2018-09-07","1900-01-00","geoChem-Extra",NA,102,"No",NA,NA,"PPM",NA,NA,NA,0,4014,NA,NA,NA,77025,683,"",NA,NA,328584,867,NA,NA,NA,0,90,NA,NA,NA,0,66,NA,NA,NA,30822,102,NA,NA,NA,15180,62,"",NA,NA,2782,90,NA,NA,NA,135,11,NA,NA,NA,0,44,NA,NA,NA,405,15,NA,NA,NA,17416,76,NA,NA,NA,0,92,NA,NA,NA,17,3,NA,NA,NA,46,3,NA,NA,NA,59,2,NA,NA,NA,0,11,NA,NA,NA,0,6,NA,NA,NA,121,1,NA,NA,NA,418,2,NA,NA,NA,9,1,NA,NA,NA,189,2,NA,NA,NA,11,1,NA,NA,NA,8,1,NA,NA,NA,0,266,NA,NA,NA,0,320,NA,NA,NA,0,547,NA,NA,NA,0,699,NA,NA,NA,0,94,NA,NA,NA,0,40,NA,NA,NA,0,49,NA,NA,NA,18,1,NA,NA,NA,0,147,NA,NA,NA,17,3,NA,NA,NA,0,83,NA,NA,NA,526735,1155,"Arrowstone","PMR","geol-astoneac","1","Geo"
"263",352,801203,103,"2018-09-07","1900-01-00","geoChem-Extra",NA,103,"No",NA,NA,"PPM",NA,NA,NA,0,4200,NA,NA,NA,76216,694,"",NA,NA,323969,879,NA,NA,NA,0,94,NA,NA,NA,0,69,NA,NA,NA,30378,103,NA,NA,NA,15281,63,"",NA,NA,2688,90,NA,NA,NA,147,12,NA,NA,NA,0,46,NA,NA,NA,395,16,NA,NA,NA,17317,77,NA,NA,NA,0,93,NA,NA,NA,12,3,NA,NA,NA,34,3,NA,NA,NA,58,2,NA,NA,NA,0,11,NA,NA,NA,0,6,NA,NA,NA,120,1,NA,NA,NA,424,2,NA,NA,NA,9,1,NA,NA,NA,186,2,NA,NA,NA,11,1,NA,NA,NA,10,1,NA,NA,NA,0,270,NA,NA,NA,0,324,NA,NA,NA,0,556,NA,NA,NA,0,712,NA,NA,NA,0,95,NA,NA,NA,0,38,NA,NA,NA,0,49,NA,NA,NA,17,1,NA,NA,NA,0,149,NA,NA,NA,16,3,NA,NA,NA,0,85,NA,NA,NA,532713,1174,"Arrowstone","PMR","geol-astoneac","1","Geo"
"264",353,801203,107,"2018-09-07","1900-01-00","geoChem-Extra",NA,107,"No",NA,NA,"PPM",NA,NA,NA,0,4524,NA,NA,NA,82253,717,"",NA,NA,309902,893,NA,NA,NA,0,106,NA,NA,NA,0,73,NA,NA,NA,12562,64,NA,NA,NA,29924,98,"",NA,NA,2992,95,NA,NA,NA,84,11,NA,NA,NA,0,47,NA,NA,NA,574,18,NA,NA,NA,26634,106,NA,NA,NA,0,119,NA,NA,NA,51,4,NA,NA,NA,37,3,NA,NA,NA,58,2,NA,NA,NA,0,10,NA,NA,NA,0,5,NA,NA,NA,25,1,NA,NA,NA,717,3,NA,NA,NA,14,1,NA,NA,NA,129,2,NA,NA,NA,6,1,NA,NA,NA,6,1,NA,NA,NA,0,273,NA,NA,NA,0,327,NA,NA,NA,0,560,NA,NA,NA,0,718,NA,NA,NA,0,97,NA,NA,NA,0,40,NA,NA,NA,0,52,NA,NA,NA,9,1,NA,NA,NA,0,151,NA,NA,NA,15,3,NA,NA,NA,0,87,NA,NA,NA,534008,1234,"Watts","PMR","geol-watts","1","Geo"
"265",354,801203,108,"2018-09-07","1900-01-00","geoChem-Extra",NA,108,"No",NA,NA,"PPM",NA,NA,NA,0,4151,NA,NA,NA,79535,663,"",NA,NA,302249,833,NA,NA,NA,0,99,NA,NA,NA,0,68,NA,NA,NA,11815,57,NA,NA,NA,31397,96,"",NA,NA,3262,92,NA,NA,NA,90,11,NA,NA,NA,82,14,NA,NA,NA,699,18,NA,NA,NA,31258,112,NA,NA,NA,0,120,NA,NA,NA,60,4,NA,NA,NA,38,3,NA,NA,NA,66,2,NA,NA,NA,0,10,NA,NA,NA,0,5,NA,NA,NA,25,1,NA,NA,NA,751,3,NA,NA,NA,16,1,NA,NA,NA,131,2,NA,NA,NA,6,1,NA,NA,NA,4,1,NA,NA,NA,0,251,NA,NA,NA,0,301,NA,NA,NA,0,516,NA,NA,NA,0,663,NA,NA,NA,0,89,NA,NA,NA,0,36,NA,NA,NA,0,48,NA,NA,NA,8,1,NA,NA,NA,0,139,NA,NA,NA,0,155,NA,NA,NA,0,82,NA,NA,NA,538508,1166,"Watts","PMR","geol-watts","1","Geo"
"266",355,801203,109,"2018-09-07","1900-01-00","geoChem-Extra",NA,109,"No",NA,NA,"PPM",NA,NA,NA,0,3525,NA,NA,NA,83856,670,"",NA,NA,313524,840,NA,NA,NA,0,94,NA,NA,NA,0,64,NA,NA,NA,11749,57,NA,NA,NA,30919,94,"",NA,NA,3227,92,NA,NA,NA,111,11,NA,NA,NA,98,14,NA,NA,NA,702,19,NA,NA,NA,31325,111,NA,NA,NA,0,121,NA,NA,NA,65,4,NA,NA,NA,35,3,NA,NA,NA,66,2,NA,NA,NA,0,9,NA,NA,NA,0,6,NA,NA,NA,24,1,NA,NA,NA,733,3,NA,NA,NA,12,1,NA,NA,NA,128,2,NA,NA,NA,6,1,NA,NA,NA,0,42,NA,NA,NA,0,252,NA,NA,NA,0,302,NA,NA,NA,0,517,NA,NA,NA,0,661,NA,NA,NA,0,89,NA,NA,NA,0,37,NA,NA,NA,0,47,NA,NA,NA,8,1,NA,NA,NA,0,139,NA,NA,NA,0,154,NA,NA,NA,0,81,NA,NA,NA,523410,1167,"Watts","PMR","geol-watts","1","Geo"
"267",356,801203,97,"2018-09-07","1900-01-00","geoChem-Extra",NA,97,"No",NA,NA,"PPM",NA,NA,NA,0,3312,NA,NA,NA,84858,654,"",NA,NA,353573,829,NA,NA,NA,0,75,NA,NA,NA,0,54,NA,NA,NA,31460,96,NA,NA,NA,15770,59,"",NA,NA,2986,88,NA,NA,NA,150,11,NA,NA,NA,0,41,NA,NA,NA,424,15,NA,NA,NA,18421,74,NA,NA,NA,0,89,NA,NA,NA,16,3,NA,NA,NA,42,3,NA,NA,NA,64,2,NA,NA,NA,4,1,NA,NA,NA,0,6,NA,NA,NA,121,1,NA,NA,NA,429,2,NA,NA,NA,10,1,NA,NA,NA,185,2,NA,NA,NA,9,1,NA,NA,NA,6,1,NA,NA,NA,0,250,NA,NA,NA,0,299,NA,NA,NA,0,514,NA,NA,NA,0,658,NA,NA,NA,0,88,NA,NA,NA,0,36,NA,NA,NA,0,47,NA,NA,NA,16,1,NA,NA,NA,0,139,NA,NA,NA,18,3,NA,NA,NA,0,79,NA,NA,NA,491440,1088,"Arrowstone","PMR","geol-astonesc","1","Geo"
"268",357,801203,98,"2018-09-07","1900-01-00","geoChem-Extra",NA,98,"No",NA,NA,"PPM",NA,NA,NA,0,3640,NA,NA,NA,81783,675,"",NA,NA,343094,858,NA,NA,NA,0,84,NA,NA,NA,0,60,NA,NA,NA,30424,98,NA,NA,NA,15372,61,"",NA,NA,2914,90,NA,NA,NA,148,11,NA,NA,NA,0,43,NA,NA,NA,408,15,NA,NA,NA,17507,74,NA,NA,NA,0,91,NA,NA,NA,0,17,NA,NA,NA,41,3,NA,NA,NA,56,2,NA,NA,NA,0,11,NA,NA,NA,0,5,NA,NA,NA,120,1,NA,NA,NA,412,2,NA,NA,NA,11,1,NA,NA,NA,181,2,NA,NA,NA,11,1,NA,NA,NA,8,1,NA,NA,NA,0,261,NA,NA,NA,0,312,NA,NA,NA,0,537,NA,NA,NA,0,687,NA,NA,NA,0,92,NA,NA,NA,0,38,NA,NA,NA,0,49,NA,NA,NA,18,1,NA,NA,NA,0,143,NA,NA,NA,15,3,NA,NA,NA,0,82,NA,NA,NA,507478,1131,"Arrowstone","PMR","geol-astonesc","1","Geo"
"269",358,801203,99,"2018-09-07","1900-01-00","geoChem-Extra",NA,99,"No",NA,NA,"PPM",NA,NA,NA,0,3542,NA,NA,NA,79193,652,"",NA,NA,334733,829,NA,NA,NA,0,80,NA,NA,NA,0,58,NA,NA,NA,30946,97,NA,NA,NA,15889,60,"",NA,NA,3067,88,NA,NA,NA,145,11,NA,NA,NA,59,14,NA,NA,NA,443,15,NA,NA,NA,19184,77,NA,NA,NA,0,92,NA,NA,NA,0,17,NA,NA,NA,45,3,NA,NA,NA,64,2,NA,NA,NA,0,11,NA,NA,NA,0,5,NA,NA,NA,124,1,NA,NA,NA,435,2,NA,NA,NA,9,1,NA,NA,NA,185,2,NA,NA,NA,12,1,NA,NA,NA,6,1,NA,NA,NA,0,251,NA,NA,NA,0,301,NA,NA,NA,0,516,NA,NA,NA,0,662,NA,NA,NA,0,86,NA,NA,NA,0,35,NA,NA,NA,0,47,NA,NA,NA,19,1,NA,NA,NA,0,139,NA,NA,NA,14,3,NA,NA,NA,5,1,NA,NA,NA,515423,1103,"Arrowstone","PMR","geol-astonesc","1","Geo"
"270",359,801203,100,"2018-09-07","1900-01-00","geoChem-Extra",NA,100,"No",NA,NA,"PPM",NA,NA,NA,0,3807,NA,NA,NA,62304,623,"",NA,NA,260843,769,NA,NA,NA,396,52,NA,NA,NA,1207,32,NA,NA,NA,23707,84,NA,NA,NA,22963,77,"",NA,NA,3391,88,NA,NA,NA,98,10,NA,NA,NA,42,13,NA,NA,NA,630,17,NA,NA,NA,27187,101,NA,NA,NA,0,106,NA,NA,NA,32,3,NA,NA,NA,146,4,NA,NA,NA,421,5,NA,NA,NA,79,6,NA,NA,NA,3,1,NA,NA,NA,116,1,NA,NA,NA,236,2,NA,NA,NA,40,1,NA,NA,NA,282,2,NA,NA,NA,20,1,NA,NA,NA,6,1,NA,NA,NA,0,229,NA,NA,NA,51,6,NA,NA,NA,0,465,NA,NA,NA,0,594,NA,NA,NA,0,121,NA,NA,NA,0,54,NA,NA,NA,10,2,NA,NA,NA,1463,8,NA,NA,NA,0,138,NA,NA,NA,10,3,NA,NA,NA,0,71,NA,NA,NA,594317,1111,"Arrowstone","PMR","geol-astonesc","1","Geo"
"271",360,801203,104,"2018-09-07","1900-01-00","geoChem-Extra",NA,104,"No",NA,NA,"PPM",NA,NA,NA,0,5427,NA,NA,NA,64189,733,"",NA,NA,286216,918,NA,NA,NA,0,118,NA,NA,NA,0,94,NA,NA,NA,24889,100,NA,NA,NA,17569,74,"",NA,NA,3021,100,NA,NA,NA,152,13,NA,NA,NA,0,50,NA,NA,NA,316,16,NA,NA,NA,17189,84,NA,NA,NA,0,98,NA,NA,NA,18,4,NA,NA,NA,80,4,NA,NA,NA,67,3,NA,NA,NA,0,12,NA,NA,NA,0,7,NA,NA,NA,89,1,NA,NA,NA,549,3,NA,NA,NA,7,1,NA,NA,NA,158,2,NA,NA,NA,8,1,NA,NA,NA,14,1,NA,NA,NA,0,293,NA,NA,NA,0,353,NA,NA,NA,0,603,NA,NA,NA,0,774,NA,NA,NA,0,100,NA,NA,NA,0,41,NA,NA,NA,0,52,NA,NA,NA,15,1,NA,NA,NA,0,163,NA,NA,NA,27,3,NA,NA,NA,0,91,NA,NA,NA,585426,1252,"Maiden Creek","PMR","geol-maidcr","1","Geo"
"272",361,801203,105,"2018-09-07","1900-01-00","geoChem-Extra",NA,105,"No",NA,NA,"PPM",NA,NA,NA,0,4478,NA,NA,NA,71744,701,"",NA,NA,313865,895,NA,NA,NA,0,104,NA,NA,NA,0,74,NA,NA,NA,24967,93,NA,NA,NA,17044,68,"",NA,NA,2912,94,NA,NA,NA,151,12,NA,NA,NA,0,46,NA,NA,NA,308,15,NA,NA,NA,16299,76,NA,NA,NA,0,92,NA,NA,NA,12,3,NA,NA,NA,78,4,NA,NA,NA,57,2,NA,NA,NA,0,11,NA,NA,NA,0,6,NA,NA,NA,84,1,NA,NA,NA,531,3,NA,NA,NA,7,1,NA,NA,NA,150,2,NA,NA,NA,5,1,NA,NA,NA,7,1,NA,NA,NA,0,276,NA,NA,NA,0,333,NA,NA,NA,0,568,NA,NA,NA,0,731,NA,NA,NA,0,94,NA,NA,NA,0,39,NA,NA,NA,0,51,NA,NA,NA,17,1,NA,NA,NA,0,152,NA,NA,NA,18,3,NA,NA,NA,0,86,NA,NA,NA,551745,1193,"Maiden Creek","PMR","geol-maidcr","1","Geo"
"273",362,801203,106,"2018-09-07","1900-01-00","geoChem-Extra",NA,106,"No",NA,NA,"PPM",NA,NA,NA,0,4473,NA,NA,NA,71787,694,"",NA,NA,305995,875,NA,NA,NA,0,100,NA,NA,NA,227,35,NA,NA,NA,24918,92,NA,NA,NA,17415,68,"",NA,NA,3015,94,NA,NA,NA,146,12,NA,NA,NA,48,15,NA,NA,NA,288,14,NA,NA,NA,16497,76,NA,NA,NA,0,91,NA,NA,NA,11,3,NA,NA,NA,81,3,NA,NA,NA,65,2,NA,NA,NA,0,11,NA,NA,NA,0,6,NA,NA,NA,86,1,NA,NA,NA,530,3,NA,NA,NA,6,1,NA,NA,NA,154,2,NA,NA,NA,6,1,NA,NA,NA,6,1,NA,NA,NA,0,272,NA,NA,NA,0,327,NA,NA,NA,0,561,NA,NA,NA,0,717,NA,NA,NA,0,94,NA,NA,NA,0,40,NA,NA,NA,0,50,NA,NA,NA,16,1,NA,NA,NA,0,150,NA,NA,NA,13,3,NA,NA,NA,0,86,NA,NA,NA,558692,1178,"Maiden Creek","PMR","geol-maidcr","1","Geo"
"274",363,801203,91,"2018-09-07","1900-01-00","geoChem-Extra",NA,91,"No",NA,NA,"PPM",NA,NA,NA,0,5570,NA,NA,NA,69023,749,"",NA,NA,250740,844,NA,NA,NA,1189,67,NA,NA,NA,2831,46,NA,NA,NA,24292,98,NA,NA,NA,18651,75,"",NA,NA,3992,105,NA,NA,NA,138,12,NA,NA,NA,0,47,NA,NA,NA,334,15,NA,NA,NA,23097,102,NA,NA,NA,0,112,NA,NA,NA,14,4,NA,NA,NA,83,4,NA,NA,NA,68,3,NA,NA,NA,0,12,NA,NA,NA,0,6,NA,NA,NA,79,1,NA,NA,NA,622,3,NA,NA,NA,9,1,NA,NA,NA,156,2,NA,NA,NA,7,1,NA,NA,NA,14,1,NA,NA,NA,0,280,NA,NA,NA,0,337,NA,NA,NA,0,576,NA,NA,NA,0,737,NA,NA,NA,0,96,NA,NA,NA,0,42,NA,NA,NA,0,51,NA,NA,NA,15,1,NA,NA,NA,0,155,NA,NA,NA,16,3,NA,NA,NA,0,89,NA,NA,NA,604632,1237,"Hat Creek","PMR","uphatcreek-1","1","Geo"
